"T_2_1","T_2_10","T_2_12","T_2_2","T_2_3","T_2_6","T_2_7","T_2_9","T_3_2","T_3_3","T_3_5","T_4_3","T_4_4","T_4_5","T_4_6","T_4_7","T_5_2","T_5_3","T_5_4","T_5_5","T_6_2","T_6_5","T_6_7","T_6_8","T_9_1","T_9_2","T_9_3","T_9_4","T_9_5","V_1_2","V_10_1","V_11_1","V_11_2","V_11_3","V_12_1","V_12_2","V_13_1","V_13_2","V_14_1","V_14_2","V_14_3","V_15_1","V_15_2","V_15_3","V_16_1","V_16_2","V_17_1","V_17_2","V_18_1","V_18_2","V_18_3","V_18_4","V_19_1","V_19_2","V_19_3","V_2_1","V_2_2","V_2_3","V_20_1","V_21_1","V_21_4","V_22_1","V_22_3","V_22_4","V_3_1","V_3_2","V_4_1","V_4_2","V_5_1","V_5_3","V_6_1","V_6_2","V_6_3","V_7_1","V_7_2","V_7_3","V_8_2","V_9_1","V_9_2","V_9_3","V_9_4"
"T_5_2",15,7,6,18,18,19,7,20,18,14,10,9,18,17,17,14,22,19,11,11,9,15,18,17,2,15,13,16,15,13,15,17,16,18,14,14,15,16,17,9,17,17,19,18,15,16,16,17,14,15,14,17,16,17,16,11,15,14,15,14,15,17,15,16,16,16,14,16,13,18,17,18,17,15,18,19,16,17,15,11,16
"T_5_3",15,7,6,19,19,19,7,20,19,15,10,9,18,17,17,14,19,20,11,11,9,15,18,16,2,15,13,16,15,13,15,16,15,17,14,14,15,16,17,9,17,16,18,17,15,16,16,17,14,15,13,16,16,16,15,11,14,14,15,14,14,16,14,15,15,15,14,15,13,17,16,17,16,15,17,19,15,17,14,11,15
"T_5_4",10,7,5,11,11,11,7,11,11,10,8,7,11,11,11,10,11,11,11,10,7,9,10,11,2,10,9,10,10,8,9,9,9,11,9,9,10,10,10,7,11,10,11,11,10,10,10,11,9,9,9,10,10,10,10,7,9,9,9,9,9,10,10,10,10,10,10,10,8,10,10,11,11,9,10,11,10,10,9,7,10
"T_5_5",11,7,6,11,11,11,7,11,11,11,8,8,11,11,11,10,11,11,10,11,8,10,11,11,2,11,10,11,11,9,9,9,9,11,9,9,10,10,11,7,11,10,11,11,10,11,10,11,9,9,9,10,11,10,10,8,9,9,9,9,9,10,10,10,10,10,10,10,9,10,10,11,11,9,10,11,10,10,9,8,10
"T_6_2",9,6,4,9,9,9,6,9,9,8,6,7,9,9,9,7,9,9,7,8,9,9,9,9,0,9,9,9,9,7,7,7,7,9,7,7,8,8,9,5,9,8,9,9,8,9,8,9,7,7,7,8,9,8,8,7,7,7,7,7,7,8,8,8,8,8,8,8,7,8,8,9,9,7,8,9,8,8,7,7,8
"T_6_5",14,6,5,15,15,16,7,16,16,12,9,8,16,16,16,13,15,15,9,10,9,16,16,15,1,14,12,14,14,12,13,14,14,16,13,13,14,14,15,7,15,14,16,16,13,15,14,15,12,13,12,14,15,14,14,10,13,13,13,13,13,15,13,14,14,14,13,14,12,15,14,15,15,13,15,16,14,14,12,11,14
"T_6_7",15,7,6,18,18,20,7,20,19,15,10,9,19,19,20,14,18,18,10,11,9,16,23,17,2,16,13,16,16,13,14,18,15,20,14,14,15,15,17,8,16,15,19,19,14,16,15,16,13,14,14,17,16,16,17,11,14,14,14,14,14,19,16,16,16,16,16,18,13,17,16,16,19,14,18,21,16,16,14,12,17
"T_6_8",14,7,6,16,16,19,7,18,17,13,10,9,18,17,18,15,17,16,11,11,9,15,17,20,2,14,12,14,14,12,14,17,16,19,14,14,15,15,15,8,16,16,19,19,14,15,15,16,13,14,15,16,15,16,16,10,15,14,14,14,15,18,17,16,16,16,16,17,12,17,16,17,18,14,17,19,16,15,14,11,16
"T_9_1",2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"T_9_2",13,7,6,15,15,15,7,16,16,13,9,9,15,15,15,12,15,15,10,11,9,14,16,14,2,16,12,16,16,12,13,13,13,15,13,13,14,14,16,8,15,14,16,15,13,15,14,15,12,13,12,14,15,14,14,10,13,13,13,13,13,14,13,14,14,14,13,14,12,14,14,15,15,13,14,15,14,15,13,11,14
