"T_2_1","T_2_10","T_2_12","T_2_2","T_2_3","T_2_6","T_2_7","T_2_9","T_3_2","T_3_3","T_3_5","T_4_3","T_4_4","T_4_5","T_4_6","T_4_7","T_5_2","T_5_3","T_5_4","T_5_5","T_6_2","T_6_5","T_6_7","T_6_8","T_9_1","T_9_2","T_9_3","T_9_4","T_9_5","V_1_2","V_10_1","V_11_1","V_11_2","V_11_3","V_12_1","V_12_2","V_13_1","V_13_2","V_14_1","V_14_2","V_14_3","V_15_1","V_15_2","V_15_3","V_16_1","V_16_2","V_17_1","V_17_2","V_18_1","V_18_2","V_18_3","V_18_4","V_19_1","V_19_2","V_19_3","V_2_1","V_2_2","V_2_3","V_20_1","V_21_1","V_21_4","V_22_1","V_22_3","V_22_4","V_3_1","V_3_2","V_4_1","V_4_2","V_5_1","V_5_3","V_6_1","V_6_2","V_6_3","V_7_1","V_7_2","V_7_3","V_8_2","V_9_1","V_9_2","V_9_3","V_9_4"
"V_5_1",12,6,6,12,12,14,6,14,13,9,7,9,14,13,13,11,13,13,8,9,7,12,13,12,2,12,11,13,12,14,15,15,14,14,14,14,13,15,15,9,14,15,14,14,14,15,15,15,14,15,13,15,15,15,14,11,14,14,15,14,14,14,13,14,14,14,13,14,15,15,15,15,14,14,15,15,14,15,14,12,14
"V_5_3",14,6,6,16,16,21,7,20,17,12,9,9,20,18,18,14,18,17,10,10,8,15,17,17,2,14,12,15,14,14,17,21,18,21,16,16,15,17,17,9,18,18,21,21,16,17,18,18,15,17,18,21,17,20,20,11,17,16,17,16,17,21,18,20,19,19,17,20,15,22,19,19,20,16,22,22,20,18,16,12,20
"V_6_1",13,7,6,15,15,19,6,19,16,11,9,9,19,17,17,14,17,16,10,10,8,14,16,16,2,14,12,15,14,14,17,19,17,19,16,16,16,18,17,9,17,19,19,19,15,17,17,18,15,17,17,19,17,19,18,11,17,16,17,16,17,18,17,18,18,19,16,18,15,19,20,19,19,16,19,20,18,17,16,12,18
"V_6_2",14,7,6,16,16,19,7,19,17,12,9,9,19,17,17,14,18,17,11,11,9,15,16,17,2,15,13,16,15,14,17,18,17,19,16,16,16,18,18,9,18,19,19,19,16,18,18,19,15,17,16,19,18,19,18,11,17,16,17,16,17,18,17,18,18,18,16,18,15,19,19,20,19,16,19,20,18,18,16,12,18
"V_6_3",14,7,6,16,16,21,7,20,17,12,9,9,21,20,21,14,17,16,11,11,9,15,19,18,2,15,13,15,16,13,16,22,17,24,17,16,16,17,17,8,18,18,21,22,15,18,17,18,14,16,18,23,17,19,21,11,17,17,17,16,17,23,20,21,20,20,18,23,14,20,19,19,25,16,23,24,20,17,16,12,23
"V_7_1",12,6,6,14,14,16,6,16,15,10,8,9,16,15,15,13,15,15,9,9,7,13,14,14,2,13,11,14,14,14,16,16,15,15,16,15,15,16,15,9,16,16,15,15,15,16,16,16,15,16,14,17,15,16,15,11,15,15,17,15,15,15,15,16,16,15,14,15,14,16,16,16,16,17,17,16,15,16,14,12,16
"V_7_2",14,6,6,16,16,21,7,21,17,12,9,9,21,21,20,14,18,17,10,10,8,15,18,17,2,14,12,15,15,14,17,24,18,24,17,16,15,17,17,9,18,18,22,23,16,18,18,18,15,17,18,24,17,20,21,11,18,17,18,16,17,26,19,21,20,20,17,24,15,22,19,19,23,17,29,28,20,18,17,12,24
"V_7_3",15,7,6,18,18,25,7,23,20,14,10,9,23,24,22,15,19,19,11,11,9,16,21,19,2,15,13,16,16,14,17,25,18,27,16,16,16,18,18,9,19,19,23,24,16,18,18,19,15,17,18,23,18,20,21,11,18,17,17,16,17,29,19,21,19,21,18,25,15,22,20,20,24,16,28,36,20,18,17,12,24
"V_8_2",13,6,6,15,15,19,7,18,16,11,8,9,19,17,17,13,16,15,10,10,8,14,16,16,2,14,12,14,14,13,16,19,17,20,16,16,15,16,16,8,17,17,20,20,15,16,17,17,14,16,18,20,16,19,20,11,17,16,16,16,17,20,18,20,19,19,17,20,14,20,18,18,20,15,20,20,20,17,16,12,20
"V_9_1",13,6,6,16,16,18,7,19,17,12,8,9,17,16,16,13,17,17,10,10,8,14,16,15,2,15,12,17,15,14,18,17,16,17,16,16,15,18,19,9,17,18,19,18,17,18,18,19,16,18,15,19,18,18,17,12,16,16,18,17,17,17,16,17,17,16,16,17,15,18,17,18,17,16,18,18,17,21,16,12,17
"V_9_2",12,6,6,14,14,15,6,16,15,10,7,9,16,15,14,12,15,14,9,9,7,12,14,14,2,13,11,13,13,13,15,16,16,16,15,15,14,15,15,8,14,16,17,16,14,14,15,15,14,15,15,16,14,16,16,11,16,15,15,15,16,17,15,16,16,16,14,16,14,16,16,16,16,14,17,17,16,16,18,12,17
"V_9_3",11,6,5,11,11,12,5,12,12,8,7,8,12,12,12,10,11,11,7,8,7,11,12,11,1,11,10,11,11,12,12,12,12,12,12,12,12,12,12,7,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,11,12,12,12,12,12,12,11,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"V_9_4",13,6,6,15,15,19,7,19,16,11,8,9,20,21,19,13,16,15,10,10,8,14,17,16,2,14,12,14,15,13,16,21,17,22,17,16,15,16,16,8,17,17,20,21,15,17,17,17,14,16,18,23,16,19,21,11,17,17,17,16,17,23,19,21,20,19,17,22,14,20,18,18,23,16,24,24,20,17,17,12,25
